PID,GENDER,AGE,RACE/ETHNICITY,FOLDER SIZE (MB),NUMBER OF FILES,TOTAL DURATION (SEC),LC,LW,RC,RW
p80330,Male,19,Asian,12.3,163,383.49,1,1,1,0
p28030,Woman,19,White,13.6,159,425.55,1,1,1,1
p60145,Woman,18,Asian,12.0,165,374.67,1,1,1,1
p64560,Man,18,Asian,13.0,152,406.35,1,1,1,1
p79665,Man,18,White,12.6,142,394.92,1,1,1,1
p68870,Man,32,Hispanic/Latino,12.5,146,390.51,1,1,1,1
p68340,Woman,18,Asian,12.9,166,401.94,1,1,1,1
p77560,Man,30,Asian,13.1,144,407.82,1,1,1,1
p59520,Woman,23,White,13.6,157,423.39,1,1,1,1
p79550,Woman,21,White,13.8,142,430.53,1,1,1,1
p91315,Woman,19,Asian,13.7,145,429.03,1,1,1,1
p15965,Man,19,Asian,12.7,170,396.87,1,1,1,1
p68625,Non-binary,21,Two or more races,12.9,164,404.37,1,1,1,1
p18785,Woman,27,White,9.1,99,282.81,0,1,0,1
p97630,Man,18,Asian,12.5,145,391.26,1,1,1,1
p10085,Woman,21,Asian,9.6,119,300.45,1,1,1,1
p20960,Man,18,White,13.6,161,423.75,1,1,1,1
p62650,Woman,33,Asian,10.9,111,325.62,0,1,1,1
p37540,Woman,19,Asian,13.1,145,409.8,1,1,1,1
p94215,Man,24,Hispanic/Latino,12.8,160,398.76,1,1,1,1
